jammerlich-adj; adv	pathetic; miserably
Tonbandgerät-N	tape recorder
Tonfall-M	tone of voice, intonation
tonnenweise-adv	tons of
Töpfchen-N	potty
Torso-M	torso
Törtchen-N	cupcake
Tortur-F	ordeal, torture
Torwart-M	goalkeeper
totschlagen-vb	swat, kill
tragbar-adj	portable
transferieren-vb	transfer
Transit-M	transit
Transmitter-M	transmitter
transparent-adj	transparent
Trauerfeier-F	funeral service
überhören-vb	not hear
Überläufer-M	defector
trauernd-adj	mourning
Trikot-N	jersey, leotard
Trinkgeld-N	tip
Trio-N	trio
Tritt-M	step, kick
triumphieren-vb	triumph
Trompeter-M	trumpeter
tropisch-adj	tropical
tröstlich-adj; adv	comforting;
trüb-adj	comfortingly
Trubel-M	turmoil, excitement
trügen-vb	deceive
trunken-adj	intoxicated (fml)
tschechisch-adj; N	Czech
tückisch-adj	treacherous
tugendhaft-adj;	virtuous; virtuously
Tupfer-M	swab
Türschwelle-F	doorstep
tuten-vb	hoot
Überbleibsel-N	remnant (coll)
überdauern-vb	outlive, survive
Überhand-F	upper hand
überheblich-adj;	pretentious;
Übermacht-F	superiority
übermäßig-adv;	overly; excessive
Übernachtung-F	overnight stay
übernatürlich-adj;	supernatural;
überrennen-vb	overrun
überrollen-vb	run down, overrun
überrumpeln-vb	take by surprise
übersäen-vb	strew
überschlagen-vb;	skip; lukewarm
übertönen-vb	drown (out)
überwältigen-vb	overpower
ulkig-adj	predominant
Umbau-M	reconstruction
Umdrehung-F	revolution, turn
umfahren-vb	bypass; knock down
umkippen-vb	faint (coll), tip over
umkreisen-vb	circle
umleiten-vb	redirect, divert
Umleitung-F	detour, diversion
umliegend-adj	surrounding
umringen-vb	surround
umschauen-vbr	look around
umsichtig-adj; adv	prudent; prudently
umtauschen-vb	exchange
unauffindbar-adj	untraceable
ungenau-adj; adv	inaccurate; inaccurately
ungeniert-adj; adv	unashamed;
unbarmherzig-adj;	merciless; mercilessly
unbeholfen-adj;	clumsy; awkwardly
unerbittlich-adj;	relentless; relentlessly
unerkannt-adj;	unfathomably
unfehlbar-adj; adv	infallible; infallibly
ungeahnt-adj	unforeseen
ungebildet-adj	illiterate, ignorant
ungehobelt-adj;	crude; crudely
Ungewissheit-F	uncertainty
ungewohnt-adj;	unusual; unusually
unhörbar-adj; adv	inaudible; inaudibly
unlängst-adv	recently
unlogisch-adj; adv	illogical; illogically
unnahbar-adj	aloof
unnütz-adj	useless
unorthodox-adj;	unorthodox;
unrealistisch-adj;	unorthodoxly
unrein-adj	unrealistically
unschädlich-adj	harmless
unschön-adj	messy
unsinnig-adj; adv	absurd; absurdly
unterbinden-vb	prevent
unterbreiten-vb	submit
untergeben-adj	subordinate
untergraben-vb;	undermine; undermined
unterjubeln-vb	slip
unterkommen-vb	stay
unterlaufen-vb	avoid; happen
Unterleib-M	abdomen
Unterschlagung-F	embezzlement
unterstehen-vb	be subject to
unterstreichen-vb	underline, emphasize
Untertreibung-F	understatement
Untier-N	beast
unüberlegt-adj;	rash; without thinking
unüblich-adj	unusual
unumgänglich-adj	essential, inevitable
unvergesslich-adj;	unforgettable;
unvermeidbar-adj	inevitable
unweigerlich-adv;	inevitably; inevitable
Unwesen-N	nuisance
unzerstörbar-adj	indestructible
Unzufriedenheit-F	discontent
unzulässig-adj	undue, prohibited
urinieren-vb	urinate
Urinprobe-F	urine sample
Urknall-M	big bang
Vandalismus-M	vandalism
variabel-adj; adv	variable; variably
Vektor-M	vector
verächtlich-adj;	contemptuous;
veralbern-vb	make fun of
Veranlagung-F	predisposition
verausgaben-vb	exert oneself, overspend
verbal-adj; adv	verbal; verbally
Verbannung-F	exile
verbiegen-vb	bend
verbitten-vbr	not tolerate
Verbundenheit-F	bond
verdampfen-vb	vaporize
verdauen-vb	digest
verdenken-vb	blame
verdursten-vb	die of thirst
vereidigen-vb	swear (in)
vereint-adj	united, collected
vereinzelt-adj;	scattered; here and
Verführung-F	seduction
verfüttern-vb	feed
vergänglich-adj	fleeting
vergasen-vb	gas
vergelten-vb	repay
Vergeudung-F	waste
Vergiftung-F	poisoning
vergönnen-vb	grant
vergöttern-vb	adore
vergriffen-adj	sold out, out of print
Vergünstigung-F	perk, reduction
verharren-vb	remain (fml)
verkehrt-adj; adv	wrong; wrongly
verklingen-vb	fade
verkohlen-vb	char
verkommen-adj;	depraved; go to waste;
verkorksen-vb	mess up (coll)
verkrüppeln-vb	cripple
verlagern-vb	shift, relocate
Verlegung-F	transfer
verleiten-vb	seduce
verlernen-vb	forget
Verlierer-M	loser
Verlobungsring-M	engagement ring
Verlogenheit-F	hypocrisy
vermählen-vb	marry (fml)
vermerken-vb	note, record
Vermerk-M	note, annotation
vermessen-vb; adj	measure; presumptuous
verminen-vb	mine
Vermittler-M	mediator
vermögend-adj	wealthy
Vernehmung-F	interrogation
verpatzen-vb	mess up (coll)
verräterisch-adj;	treacherous;
verrechnen-vb	offset
verrenken-vb	sprain
verrosten-vb Verrücktheit-F	rust
Versand-M	shipping
verschanzen-vb	fortify
verschiffen-vb	ship off
verschleiern-vb	conceal
verschlüsseln-vb	encrypt
Verschlüsselung-F	encryption
verschmutzen-vb;	pollute; pollution
Verschmutzung-F	pollution
verschnaufen-vb	catch one's breath
verschrecken-vb	scare off
versengen-vb	scorch
verstauen-vb	stow
Versteigerung-F	auction
verstellen-vb	adjust
verstimmen-vb;	upset; get out of tune
verstreichen-vb	elapse, spread
verstricken-vb	involve, entangle
vertikal-adj; adv	vertical; vertically
Vertrauter-M	confidant
vertrocknen-vb	dry (up)
verunglücken-vb	have an accident
verunsichert-adj	uncertain
Veruntreuung-F	embezzlement
Verurteilter-M	convict
verwählen-vbr	have the wrong number
Verwarnung-F	reprimand
verwehen-vb	cover over, blow away
verwehren-vb	deny
verwelken-vb	wither
verwerfen-vb	discard
Verwesung-F	decomposition
verwetten-vb	bet
verwundert-adj	bewildered, surprised
Verwüstung-F	devastation
Verzicht-M	waiver
vibrieren-vb	vibrate
Vlies-N	fleece
Vöglein-N	birdie
Völkermord-M	genocide
Vollendung-F	completion
volljährig-adj	of legal age
vollpumpen-vb	fill (up)
vollstopfen-vb	stuff
vollstrecken-vb	enforce
volltanken-vb	fill up
vollzählig-adj	complete
vorab-adv	in advance
vorankommen-vb	progress
voraussehen-vb	anticipate
vorbildlich-adj	exemplary, perfect
vorbringen-vb; N	allege; allegation
vordringen-vb; N	penetrate; advance
Vorgeschichte-F	(pre)history, record
vorhersehbar-adj	predictable
vorhersehen-vb	predict
Vorhut-F	vanguard
vorladen-vb	summon, preload
vorlaut-adj; adv	cheeky; flippantly
Vormarsch-M	advance
Vorrichtung-F	device, equipment
vortanzen-vb	audition (dancing)
vorteilhaft-adj;	advantageous; favorably
vortrefflich-adj;	excellent; admirably
vorwarnen-vb	warn
vorzeigen-vb	show
Wachablösung-F	changing of the guard
Waffenbesitz-M	gun possession
Waffenruhe-F	truce
wahrhaben-vb	believe
Walross-N	walrus
wälzen-vb	roll
Wanderung-F	hike, migration
Warenhaus-N	department store
Warterei-F	waiting (coll)
Warze-F	wart
Waschbär-M	racoon
Wäschekorb-M	hamper
weben-vb; N	weave; weaving
wedeln-vb	wave, wag
wegblasen-vb	blow (away)
weglegen-vb	put aside
wegmachen-vb	get rid of (coll)
wegräumen-vb	clean up
wegschmeißen-vb	ditch (coll)
wegsehen-vb	look away
wehrlos-adj; adv	defenseless;
Weiblichkeit-F	defenselessly
Weibsbild-N	woman (coll)
vital-adj	vital
Vitrine-F	cabinet
Weigerung-F	refusal
Weinberg-M	vineyard
Weinbrand-M	brandy
weismachen-vb	make believe
Wohlfühlen-N; vbr	wellness; feel
Wohlgefallen-N	pleasure
wohltätig-adj; adv	benevolent;
weiterleiten-vb	forward
weitersagen-vb	spread the word
weiterschlafen-vb	sleep on
weitersuchen-vb	keep looking
Wohltätigkeit-F	charity
wohnhaft-adj	resident
Workshop-M	workshop
Wortschatz-M	vocabulary
Wellenlänge-F	wavelength
weltlich-adj; adv	secular, worldly
Wortwahl-F	choice of words
wühlen-vb	dig
Werwolf-M	werewolf
Westentasche-F	vest pocket
Wunderland-N	wonderland
widerlegen-vb	refute
Wiederaufbau-M	reconstruction
würdigen-vb	appreciate
würzen-vb	season
Yak-M/N	yak
zahlenmäßig-adj;	numerical; numerically
Zähler-M	meter, tally
zahllos-adj	countless
willkürlich-adv;	arbitrarily; arbitrary
zahm-adj; adv	tame; tamely
zähmen-vb	tame
wimmeln-vb	swarm
wirbeln-vb; N	swirl; whirl
Wirbelsturm-M	hurricane
wirkungsvoll-adv;	effectively; effective
wittern-vb	smell
zanken-vb	quarrel
zapfen-vb; M	tap; spigot
Zaster-M	money (coll)
Zauberformel-F	incantation
Zauberkraft-F	magic (power)
Zaubertrank-M	magic potion
Zaubertrick-M	magic trick
Zeitreise-F	chronologically
zerbrochen-adj	broken
zerfleischen-vb	mangle
zerfressen-adj; vb	corroded; corrode
zerhacken-vb	chop up
zerknittern-vb	crumple
zerkratzen-vb	scratch
zerschießen-vb	shoot up
zerspringen-vb	burst
zerstreiten-vbr	fall out
zertreten-vb	trod, squash
Zielort-M	destination
Zirkel-M	circle, compass
zirpen-vb; N	chirp; chirping
zittrig-adj; adv	shaky; shakily
zivil-adj	civil, civilian
Zobel-M	sable
Zopf-M	braid
Zubehör-N	accessory
zubringen-vb	spend
zudecken-vb	cover
zudröhnen-vbr	get stoned (coll)
zugegen-adj	satisfactorily
zuhalten-vb	keep shut, cover
zumuten-vb	expect of, put through
zunähen-vb	stitch up
Zündschnur-F	fuse
zurückdrehen-vb	turn back
zurückfallen-vb	fall back
zurückfliegen-vb	fly back
Zurückhaltung-F	restraint
zurückkaufen-vb	buy back
zurücklehnen-vb	lean back
zurücksetzen-vb	reverse, reset
zurückweichen-vb	flinch, retreat
Zurückweisung-F	rejection
zurückwerfen-vb	reflect, set back
zuschreiben-vb	attribute
zusetzen-vb	nag, add
zutragen-vb; vbr	report to; happen
zuziehen-vb; vbr	draw, consult; incur
Zwangsarbeit-F	forced labor
Zwangsjacke-F	straitjacket
zweierlei-adj	two different
zweifelhaft-adj;	doubtful; doubtfully
Zweitbesetzung-F	understudy
Zweitschlüssel-M	spare key
Zypern-N	Cyprus
absetzen-vb	drop (off), sell
abbiegen-vb	turn
abdrücken-vb	shoot
Abendbrot-N	supper
abfahren-vb	leave
abfeuern-vb	fire
Abfindung-F	compensation
Abgang-M	slope
abgefahren-adj	awesome (coll); worn
abgelaufen-adj	expired, up
abstürzen-vb	crash, fall
Absturz-M	crash
abtreten-vb	resign
Abwechslung-F	variety, change
abweisen-vb	reject
abwerfen-vb	discard
Abzug-M	trigger
ächzen-vb; N	grunt; grunting
Adel-M	nobility
Ader-F	vein
adoptieren-vb	adopt
abheben-vb	take off
abhören-vb; N	eavesdrop;
abkriegen-vb	get (coll)
Abkürzung-F	abbreviation, shortcut
ablegen-vb	discard
ablenken-vb	distract
Alarmanlage-F	alarm
Alarmstufe-F	alert level
alias-adv	alias
Ablenkung-F	distraction
Abmachung-F	arrangement
allerseits-adv	everybody
abreisen-vb	depart
abreißen-vb	demolish
Alliierter-M	ally
Abschlussball-M	prom
Alptraum-M	nightmare
Alter-N; M	age; dude (coll)
abseits-adv	apart
Amateur-M	amateur
Ameise-F	ant
amüsant-adj; adv	amusing; amusingly
anbringen-vb	apply
anrühren-vb	touch
Andenken-N	memory, souvenir
ansagen-vb; N	announce;
andernfalls-adv;	otherwise
Anschein-M	appearance
anderswo-adv	elsewhere
aneinander-adv	together
anschnallen-vb	buckle (up)
anerkannt-adj	recognized
Anschuldigung-F	accusation
anfahren-vb	approach, hit
Anfänger-M	beginner
ansprechen-vb	address
Anstalt-F	institution
Anflug-M	approach, hint
ansteckend-adj	contagious
anfühlen-vb	touch, feel
anstecken-vb;	infect; catch
anstoßen-vb	drink to, nudge
anstrengen-vb;	strain; try hard
angespannt-adj;	tense; tensely
Antenne-F	antenna
Antlitz-N	face (fml)
antreiben-vb	drive, power
Angewohnheit-F	habit
ängstlich-adj;	scared; fearfully
Anwesen-N	estate
Anzahlung-F	deposit
anhaben-vb	wear
anzünden-vb	light
anhängen-vb	attach
Apotheke-F	pharmacy
Anhänger-M	pendant, follower
apropos-adv	by the way
anheuern-vb	hire (coll)
Aquarium-N	aquarium
Anker-M	anchor
Arabien-N	Arabia
Anliegen-N; vb	concern; be in contact
Ära-F	era
anmachen-vb	turn on, hit on (coll)
Anmarsch-M	coming, advance
Arbeitszimmer-N	study
annähernd-adv;	approximately;
Archiv-N	archive
Arena-F	arena
anonym-adj; adv	anonymous;
Armband-N	bracelet
Aufstellung-F	list
Arrest-M	detention
arrogant-adj; adv	arrogant; arrogantly
aufteilen-vb	split (up)
Arroganz-F	arrogance
Auftraggeber-M	client
artig-adj	good
auftreiben-vb	find (coll), raise
Artillerie-F	artillery
aufwärmen-vb	warm (up)
Aschenbecher-M	ashtray
aufwärts-adv	up
Aspirin-N	aspirin
Assistent-M	assistant
Astronaut-M	astronaut
Auktion-F	auction
Asyl-N	asylum
ausatmen-vb	exhale
Atemzug-M	breath
ausbrechen-vb	break out
Atombombe-F	atom bomb
ausbuchen-vb	book out, write off
Attacke-F	attack
Attentäter-M	assassin
Attentat-N	assassination
auserwählen-vb	choose
ätzend-adj	corrosive, lousy (coll)
ausfahren-vb	extend, drive out
Ausfahrt-F	exit, drive
ausfallen-vb	fail, fall out
ausflippen-vb	flip (coll)
auferstehen-vb	(a)rise
ausführen-vb; N	implement; performing
aufessen-vb	eat up
ausfüllen-vb	fill
auffällig-adj; adv	conspicuous;
auffinden-vb	find
ausgebildet-adj	educated
ausgefallen-adj	fancy
aufgebracht-adj	upset
ausgelassen-adj;	exuberant; exuberantly
aufgelöst-adj	upset
aufhängen-vb	hang
auslachen-vb	laugh at
aufrecht-adj; adv	upright
auslassen-vb	omit
Aufruf-M	appeal
ausliefern-vb	deliver, extradite
Aufruhr-M	turmoil
auslöschen-vb; N	extinguish; extinction
aufschlitzen-vb	slit
ausmessen-vb	measure
aufsehen-vb; N	look up; sensation
Aufseher-M	warden
auspacken-vb	unpack
Aufsicht-F	supervision
ausrasten-vb	snap (coll)
aufspüren-vb	detect
ausrauben-vb	rob
ausreichend-adj;	sufficient; sufficiently
Bandit-M	bandit
ausrutschen-vb	slip
bange-adj	anxious
aussagen-vb	testify
Bankräuber-M	bank robber
Bankrott-M; adj	bankruptcy; bankrupt
Bann-M	spell, ban
barfuß-adj; adv	barefoot
Base-F	base
Ausschuss-M	committee
Basketball-M	basketball
Bass-M	bass
außerirdisch-adj	alien
Bastard-M	bastard
Bataillon-N	battalion
Baumwolle-F	cotton
aussprechen-vb	express, pronounce
beängstigend-adj	daunting
Becher-M	cup
ausstehen-vb	stand, bear
Becken-N	basin; pelvis
bedacht-adj;	careful; carefully;
Aussterben-N; vb	extinction, die out
bedauerlich-adj;	regrettable,
Austausch-M	exchange
Bedienung-F	operation, service
auswendig-adj	by heart
bedrücken-vb	depress
Auswirkung-F	impact
Auszeichnung-F	award
Auszeit-F	time off, timeout
beerdigen-vb	bury
befassen-vb	deal
Automat-M	machine
Befehlshaber-M	commander
Autopsie-F	autopsy
befolgen-vb	follow, obey
Autorität-F	authority
befördern-vb	promote
Autoschlüssel-M	car key
Beförderung-F	promotion,
Axt-F	ax
Befragung-F	survey
Befreiung-F	liberation
befriedigen-vb	satisfy
baden-vb	bathe
befugen-vb	authorize
Badewanne-F	bathtub
Balance-F	balance
begabt-adj	gifted
Ballett-N	ballet
Ballon-M	balloon
Begehren-vb; N	desire
Banane-F	banana
begleichen-vb	settle, pay
Begleitung-F	company
Berufung-F	vocation, appeal
Begräbnis-N	burial
begrenzt-adj;	limited; terminally
beruhigend-adj;	soothing; reassuringly
Begrüßung-F	greeting
Behälter-M	container
Beherrschung-F	control
Berühmtheit-F	celebrity
behindert-adj	disabled
Berührung-F	touching
besagen-vb	indicate
beichten-vb	confess
Beileid-N	condolence
beschämen-vb	embarrass
beschatten-vb	tail, shade
beitreten-vb	join
Bescheidenheit-F	modesty
Bekanntschaft-F	acquaintance
beschießen-vb	fire
bekennen-vb	confess
bekloppt-adj	daft (coll)
beladen-vb; N	load; loading
belassen-vb	leave
beschränken-vb	confine
beschuldigen-vb	accuse
belegt-adj	busy, occupied
Beschützer-M	protector
Beleidigung-F	insult
Beleuchtung-F	lighting
beschweren-vbr;	complain, weight
belohnen-vb	reward
Besorgnis-F	concern
bessern-vb	do better
Besserung-F	improvement, recovery
Bestätigung-F	confirmation
beneiden-vb	envy
bestechen-vb	bribe
benennen-vb	designate
Bengel-M	rascal (coll)
benommen-adj;	numb; numbly
Bestrafung-F	punishment
betäuben-vb	stun
berauben-vb	rob
betrinken-vbr	get drunk
betrübt-adj; adv	saddened; sadly
betrügen-vb	deceive
bereden-vb	talk about
betteln-vb	beg
bereithalten-vb	stand by
Beule-F	bump
bergab-adv	downhill
beunruhigen-vb	worry
Beute-F	prey
Beutel-M	bag
Brocken-M	chunk
Brötchen-N	bun
bewaffnet-adj	armed
Bruch-M	break
Bewährung-F	parole
Brücke-F	bridge
brüllen-vb; N	roar; roaring
Bücherei-F	library
Buchhaltung-F	accounting
Beweisstück-N	exhibit
Budget-N	budget
Bewunderung-F	admiration
Büffel-M	buffalo
Bezahlung-F	payment
Bug-M	bow
bezaubernd-adj;	charming; charmingly
bündeln-vb	bundle
Bund-M	association, bunch
bezeugen-vb	testify, witness
Busen-M	bosom
büßen-vb	pay for
Cabrio-N	convertible
Birne-F	pear, bulb
Campus-M	campus
Casanova-M	lover boy
chaotisch-adj;	chaotic, chaotically
blank-adj	bare, broke (coll)
Chauffeur-M	chauffeur
blättern-vb	browse
checken-vb	check
chemisch-adj;	chemical; chemically
blendend-adj;	marvelous; marvelously
blockieren-vb	block
Chirurg-F	surgeon
Chirurgie-F	surgery
Blues-M	blues
Bluff-M	bluff
Christ-M	Christian
blühen-vb	bloom
Cocktail-M	cocktail
Bluse-F	blouse
Container-M	container
blutig-adj	bloody
Coup-M	coup
bombardieren-vb	bomb
boomen-vb	boom
booten-vb	boot
borgen-vb	lend, borrow
Brandstiftung-F	arson
dahinten-adv	back there
dämlich-adj	silly (coll)
Bräutigam-M	groom
Dämmerung-F	dawn
Brei-M	pulp
Damm-M	dam
brennend-adj;	burning; keenly
Dampf-M	steam
Dänemark-N	Denmark
Brigade-F	brigade
Dankbarkeit-F	gratitude
draufgehen-vb	get killed (coll)
Darbietung-F	performance
Drehung-F	rotation
Dasein-N	existence
drittens-adv	thirdly
Drohung-F	threat
Deckel-M	lid
ducken-vb	duck, humiliate
Defekt-M; adj	defect; faulty
Duell-N	duel
Dummheit-F	stupidity, silliness
durchatmen-vb	breathe
durchbrechen-vb	break
durchbrennen-vb	run away (coll); burn out
demütigen-vb	humiliate
Durchbruch-M	breakthrough
Depression-F	depression
durchdrehen-vb	go crazy (coll), spin
depressiv-adj;	depressive; depressively
durchhalten-vb	hold out
durchknallen-vb	go crazy (coll)
Durchreise-F	transit
Durchsage-F	announcement
durchschauen-vb	see through
Desaster-N	disaster
Designer-M	designer
Design-N	design
durstig-adj; adv	thirsty; thirstily
Dilemma-N	dilemma
Dimension-F	dimension
Dynastie-F	dynasty
Dinner-N	dinner
Dinosaurier-M	dinosaur
edel-adj; adv	noble; nobly
Diskretion-F	discretion
Division-F	division
egoistisch-adj;	selfish; selfishly
Dock-N	dock
Dolch-M	dagger
Donner-M	thunder
ehrgeizig-adj;	ambitious; ambitiously
Dosis-F	dose
Eiche-F	oak
Draht-M	wire
Eichhörnchen-N	squirrel
dranbleiben-vb	hang on (coll)
einatmen-vb; N	inhale; inhaling
Einbildung-F	imagination
Elektrizität-F	electricity
einbringen-vb; N	introduce; introduction
einbrocken-vb	get in trouble (coll)
eliminieren-vb	eliminate
eindringlich-adv;	strongly; urgent
Elite-F	elite
Einfahrt-F	driveway
einfangen-vb;	capture, get
einfrieren-vb	freeze
eingeben-vb	enter
Enkelin-F	granddaughter
eingebildet-adj;	conceited; smugly
entfliehen-vb	escape
Entführer-F	kidnapper
entgehen-vb	avoid
Entschädigung-F	compensation
Entschluss-M	decision
einliefern-vb	hospitalize
Entsetzen-N; vb	horror, appall
entsetzlich-adj;	terrible; terribly
einmischen-vb	blend into, interfere
einsatzbereit-adj	operational
entwischen-vb	escape
einschüchtern-vb	intimidate
entzückend-adj;	delightful; delightfully
einstecken-vb	insert
entzücken-vb	delight
Entzug-M	withdrawal
entzünden-vb	ignite
Erbarmen-N; vb	mercy; arouse pity
Einwand-M	objection
erbärmlich-adj;	pathetic; pitifully
Eiscreme-F	ice cream
erbauen-vb	build
erben-vb	inherit
Eitelkeit-F	vanity
erbitten-vb	solicit
eitern-vb	fester
Erbse-F	pea
Ekel-M; adj	disgust; disgusting (coll)
Erdnussbutter-F	peanut butter
Elefant-M	elephant
Erfinder-M	inventor
Erwärmung-F	warming
erwürgen-vb	strangle
erfrieren-vb	freeze to death
Erzbischof-M	archbishop
erhängen-vb	hang
Eskorte-F	escort
Eule-F	owl
erhören-vb	hear
erkälten-vbr	catch a cold
evakuieren-vb	evacuate
Erkältung-F	cold
Evakuierung-F	evacuation
erleichtern-vb	facilitate, relieve
Evolution-F	evolution
erleichtert-adj;	relieved
Examen-N	exam
Exemplar-N	specimen
Erleichterung-F	relief
Exil-N	exile
exklusiv-adj; adv	exclusive, exclusively
Erleuchtung-F	enlightenment
Expedition-F	expedition
erlösen-vb	redeem
Erlösung-F	salvation
ermitteln-vb	determine
Ermittler-M	investigator
Ermordung-F	murder
ernähren-vb; N	feed; nurturing
Fackel-F	torch
ernennen-vb	appoint
fade-adj; adv	bland; tastelessly
Ernte-F	harvest
Fahrstuhl-M	elevator
erpressen-vb	blackmail
Erpressung-F	blackmail
erraten-vb	guess
Fallschirm-M	parachute
Fälschung-F	forgery
Falte-F	wrinkle
erschlagen-vb;	slay; slayed
falten-vb	fold
farbig-adj	colored
erschüttern-vb	shake, shatter
faulen-vb	rot
ersparen-vb	save
Fax-N/M	fax
erstatten-vb	refund
erstaunt-adj; adv	amazed; in amazement
Feder-F	feather
erstechen-vb	stab (to death)
Feierabend-M	quitting time
ersticken-vb	suffocate
feindlich-adj; adv	hostile, adversely
erteilen-vb	grant, issue
Ferkel-N	piglet
ertrinken-vb	drown
Fernglas-N	binoculars
fernhalten-vb	keep away
Fotograf-M	photographer
fertigmachen-vb;	finish; get ready
Freak-M	freak
freilassen-vb	set free
fetzen-vb; M	shred
Freundlichkeit-F	kindness
frieren-vb	freeze
Frost-M	frost
fies-adj	nasty (coll)
frustrieren-vb	frustrate
Filmstar-M	movie star
Fund-M	find, finding
Filter-M/N	filter
filtern-vb	filter
final-adj	final
Funkkontakt-M	radio contact
finanzieren-vb	finance
fürchterlich-adj;	terrible; terribly
Fingerabdruck-M	fingerprint
Fingernagel-M	fingernail
Fürsorge-F	care
finster-adj; adv	sinister; gloomily
furzen-vb	fart (coll)
fit-adj	fit
fix-adj; adv	fixed; quickly (coll)
Flanke-F	flank
Gabel-F	fork
Fledermaus-F	bat
Gag-M	joke
flehen-vb	plead
Galgen-M	gallows
flicken-vb	mend
Gänsehaut-F	goosebumps
Flinte-F	shotgun
Gans-F	goose
flirten-vb	flirt
Flora-F	flora
Garantie-F	guarantee
Flöte-F	flute
Garde-F	guard
flüchten-vb	escape
Gärtner-M	gardener
Gastgeber-M	host
Gebet-N	prayer
Flut-F	flood, high tide
Gebieter-M	master (fml)
Föderation-F	federation
gebildet-adj	cultured, produced
foltern-vb	torture
Gebot-N	bid, command
fördern-vb	promote
gebrochen-adj;	broken; brokenly
Formel-F	formula
gebühren-vb	be due
förmlich-adv; adj	formally; formal
Formular-N	form
gedenken-vb; N	commemorate,
fortfahren-vb	proceed
fortgehen-vb	leave
gedruckt-adj	printed
geeignet-adj; adv	suitable; suitably
gefährdet-adj	endangered, vulnerable
gefällig-adj; adv	pleasing;
getrauen-vbr	dare
gefälscht-adj	forged
geübt-adj	trained, proficient
gewagt-adj; adv	daring, daringly
Gewahrsam-M	custody
Gegenleistung-F	consideration, return
gewalttätig-adj	violent
Gegenmittel-N	antidote
Gewissheit-F	certainty
gezielt-adj; adv	targeted; purposefully
gehorsam-adj; M	obedient; obedience
Gier-F	greed
Geier-M	vulture
gierig-adj; adv	greedy; greedily
Geige-F	violin
Geiger-M	violinist
giftig-adj	poisonous
geisteskrank-adj	insane
Gips-M	(plaster) cast
Geldbeutel-M	wallet
Gitter-N	grid
gleichfalls-adv	also
gemischt-adj	mixed
genehmigen-vb	approve
gleichgültig-adj;	indifferent; nonchalantly
Generator-M	generator
Gleis-N	track, platform
Genie-N	genius
Genuss-M	enjoyment
glotzen-vb	stare (coll)
gequält-adj	haunted
geradewegs-adv	straight
Glücksbringer-M	lucky charm
gerissen-adj	sly (coll)
Glückspilz-M	lucky guy (coll)
gesammelt-adj	collected, collective
Glücksspiel-N	gambling
Glückstag-M	lucky day
gönnen-vb; vbr	grant; indulge
Geschick-N	skill, fate (fml)
Gorilla-M	gorilla
Geschirr-N	dishes
göttlich-adj; adv	divine; divinely
geschlossen-adj	closed
Geschöpf-N	creature
Geschütz-N	gun
Graf-M	count, graph
Granate-F	grenade
grauenhaft-adj;	atrocious; horrifically
Gespenst-N	ghost
grauenvoll-adj;	horrid; horridly
Hebel-M	lever
hebräisch-adj; N	Hebrew
Grausamkeit-F	cruelty
Heck-N	stern
heil-adj; N	unhurt; salvation
grillen-vb; N	barbecue
Heiligabend-M	Christmas Eve
Heilmittel-N	cure
Heilung-F	healing
heimgehen-vb	go home
Heimweg-M	way home
Grube-F	pit
Heimweh-N	homesickness
grundlos-adj; adv	groundless; unfoundedly
heiter-adj; adv	cheerful; cheerfully
grunzen-vb; N	grunt
Heizung-F	heating
gruselig-adj; adv	creepy; creepily
Hektar-M/N	hectare
Gummi-M/N	rubber
herab-adv	down
herauf-adv	up
herb-adj	tart
gütig-adj; adv	kind; kindly
Herd-M	stove
gutmachen-vb	atone, make right
herhören-vb	pay attention
Habgier-F	greed
hacken-vb; F	chop; job (AT)
herschicken-vb	send (over)
Haftbefehl-M	warrant
herüber-adv	over
Häftling-M	prisoner
herumlaufen-vb	walk around
Hähnchen-N	chicken
Herzanfall-M	heart attack
Hai-M	shark
Herzschlag-M	heartbeat
Halluzination-F	hallucination
heulen-vb	howl
Halsband-N	collar, necklace
Hexe-F	witch
Hamburger-M	hamburger
Hexerei-F	witchcraft
Handbuch-N	manual
Handvoll-F	handful
hiermit-adv	hereby
Handwerk-N	craft
hiervon-adv	thereof
Harmonie-F	harmony
Highway-M	highway
hartnäckig-adj;	persistent; obstinately
himmlisch-adj;	heavenly
Haube-F	hood, cover
Hauch-M	whiff
hinab-adv	down
Hausarbeit-F	homework
hinbringen-vb	bring
Hausarrest-M	house arrest
Hindernis-N	obstacle
Hausfrau-F	housewife
hindern-vb	prevent
Haushalter-M	housekeeper
hindurch-adv	through
Haustier-N	pet
hinfallen-vb	fall (down)
Hingabe-F	devotion
Hautfarbe-F	skin color
hingehören-vb	belong (coll)
hinkommen-vb	get
hinkriegen-vb	menage (coll)
Identifizierung-F	identification
hinreißend-adj;	gorgeous; adorably
idiotisch-adj; adv	idiotic; idiotically
hinrichten-vb	execute
Hinrichtung-F	execution
Illusion-F	illusion
hinsehen-vb	look
immerzu-adv	always
hinstellen-vb	put (down)
improvisieren-vb	improvise
imstande-adj	able
Inder-M	Indian
Hinterhalt-M	ambush
Indianer-M	American Indian
Hinterkopf-M	back of the head
Hintertür-F	back door
Initiale-F	initial
Hirte-M	shepherd
hochgehen-vb	go up; explode
inne-adj; adv	aware (fml); within
innerlich-adj; adv	internal; internally
Insasse-M	inmate
hochziehen-vb	pull up
Hockey-N	hockey
Inschrift-F	inscription
